Pu,Ca,NAC,sample_n,tr,pooled_striatum
0.9792639,1.2316698,-0.040148903,258,193.5,2.1707847
0.39003012,0.7622016,0.70174325,259,194.25,1.8539749
-0.5934224,-0.37102455,-0.39924636,260,195.0,-1.3636934
-0.8464796,-0.27436662,-0.4193365,261,195.75,-1.5401828
-0.09274775,-0.12845209,0.046422172,262,196.5,-0.17477767
-0.08091629,-0.119175896,0.23632963,263,197.25,0.036237434
-1.3727211,-0.7320076,-0.0514251,264,198.0,-2.1561537
-0.5660605,-0.8533866,-0.37124404,265,198.75,-1.7906911
0.8556456,-0.6611839,0.58164155,266,199.5,0.77610326
-0.14567652,-0.6771853,0.08255619,267,200.25,-0.7403056
-0.3465121,0.277335,-0.0017016234,268,201.0,-0.070878744
0.8757183,0.46796077,0.10218367,269,201.75,1.4458628
0.94404155,0.36480948,1.062111,270,202.5,2.3709621
0.6538308,0.77917707,-0.4768937,271,203.25,0.9561143
0.59255207,1.1674784,0.5436726,272,204.0,2.303703
-0.1638725,0.4864204,-0.05230336,273,204.75,0.27024454
-0.75128394,0.01296348,0.030997777,274,205.5,-0.7073227
-0.66617906,0.11565094,-0.8832445,275,206.25,-1.4337726
0.6575571,0.7031586,0.08372458,276,207.0,1.4444402
-0.047625016,0.41902885,-0.17773731,277,207.75,0.19366653
-0.13411705,0.58915424,0.07568696,278,208.5,0.53072417
1.7608202,0.8055214,-0.10550065,279,209.25,2.460841
0.88436747,0.6427242,0.13692972,280,210.0,1.6640215
0.3514351,0.56165034,-0.032613143,281,210.75,0.8804723
0.9147485,1.0552366,-0.09072711,282,211.5,1.8792579
1.4907365,1.4760511,-0.10892743,283,212.25,2.85786
0.53325874,0.72894645,-0.7072167,284,213.0,0.55498844
-0.09119742,0.11342465,-0.63062793,285,213.75,-0.6084007
0.5826789,0.16346972,-0.61531335,286,214.5,0.1308353
0.88512903,0.1874023,-0.4235082,287,215.25,0.6490232
0.008023633,-0.130632,-1.1281136,288,216.0,-1.2507219
-0.45310405,0.13118856,-0.49231026,289,216.75,-0.8142258
0.07969235,-0.26666737,-0.12813146,290,217.5,-0.31510648
-0.67099327,-0.27761328,0.048170842,291,218.25,-0.9004357
-0.98734194,-1.006954,0.54000276,292,219.0,-1.454293
-0.40039286,-0.8894246,0.22351648,293,219.75,-1.066301
-0.8551288,-1.0223061,0.01188784,294,220.5,-1.8655472
-1.0369253,-1.182506,-0.03898835,295,221.25,-2.2584198
-1.0370613,-0.16319144,0.6137685,296,222.0,-0.58648425
-0.33487105,-0.6803392,0.24376345,297,222.75,-0.7714468
-0.109610975,-0.7711995,-0.14585344,298,223.5,-1.0266639
0.59018576,-0.15099324,0.46117917,299,224.25,0.9003717
0.8211304,1.0389569,-0.070213534,300,225.0,1.7898737
1.2541345,1.1203555,-0.12193661,301,225.75,2.2525535
2.056008,1.7522033,-0.2614227,302,226.5,3.5467887
1.9364697,1.4318964,0.47239265,303,227.25,3.8407588
1.1290475,1.8288711,0.42686442,304,228.0,3.384783
0.91387814,2.2568746,0.016169343,305,228.75,3.186922
1.3032554,1.6988188,-0.34256738,306,229.5,2.6595068
-0.30353808,0.82912934,0.96140945,307,230.25,1.4870007
-0.16506924,0.41657066,0.41469428,308,231.0,0.66619575
-0.104851194,0.61206645,0.20922911,309,231.75,0.7164444
0.35099992,0.5032567,-0.39291036,310,232.5,0.46134627
-0.0053581544,0.07376893,-0.22580622,311,233.25,-0.15739545
0.1701826,-0.3706071,-0.5279424,312,234.0,-0.7283669
0.7332512,0.5307606,-0.44367677,313,234.75,0.8203351
0.8779486,-0.18327439,-0.18913898,314,235.5,0.50553524
